floor,zemin
flow,akmak
flowers,çiçekler
fly,uçmak
follow,takip etmek
food,yemek
foot,ayak
for,için
force,güç
forest,orman
form,yapı
forward,ileri
found,bulunmuş
four,dört
fraction,parça
France,Fransa
free,bedava
French,Fransız
fresh,taze
friends,arkadaşlar
from,tarafından
front,ön
fruit,meyve
full,tam
fun,eğlence
game,oyun
garden,bahçe
gas,gaz
gave,verdi
general,genel
get,almak
girl,kız
give,vermek
glass,cam
go,gitmek
God,tanrı
gold,altın
gone,gitmiş
good,güzel
got,sahip olmak
government,hükümet
grass,çimen
great,müthiş
Greek,Yunan
green,yeşil
grew,büyümüş
ground,zemin
group,grup
grow,büyümek
guess,tahmin etmek
gun,silah
had,sahip olmak
hair,saç
halt,durmak
hand,el
happen,olmak
happy,mutlu
hard,zor
has,sahip olmak
hat,şapka
have,sahip olmak
he,erkek
head,baş
hear,duymak
heard,duydu
heart,kalp
heat,ısı
heavy,ağır
held,tutmak
help,yardım
her,O 
here,burada
high,yüksek
hill,tepe
history,tarih
hit,vurmak
hold,tutmak
hole,delik
home,ev
hope,umut
horse,at
hot,sıcak
hour,saat
house,ev
how,nasıl
however,ancak
huge,dev
human,insan
hundred,yüz
hunting,avlanma
I,ben
ice,buz
idea,fikir
if,eğer
important,önemli
in,içeri
inches,inç
include,içermek
increase,yükselmek
Indian,Hindistanlı
indicate,göstermek
industry,endüstri
information,bilgi
insect,böcek
inside,içinde
instead,yerine
instruments,enstruman
interest,ilgi
interesting,ilginç
into,içine
iron,demir
is,olmak
island,ada
it,o
its,onun
Japanese,Japon
job,iş
join,katılmak
jump,zıplamak
just,sadece
keep,saklamak
kept,saklanmış
key,anahtar
kill,öldürmek
kind,kibar
king,kral
knew,bilmek 
know,bilmek
known,bilinmiş
lady,kadın
lake,göl
land,arazi
language,dil
large,geniş
last,son
later,sonra
laugh,gülmek
law,kanun
lay,uzanmak
lead,kurşun
learn,öğrenmek
least,en azı
leave,terketmek
led,önderlik etmek
left,sol
leg,ayak
length,uzunluk
less,az
let,izin vermek
letter,mektup
level,seviye
lie,yalan söylemek
life,hayat
lift,kaldırmak
light,ışık
like,beğenmek
line,çizgi
list,liste
listen,dinlemek
little,küçük
live,yaşamak
location,lokasyon
long,uzun
look,bakmak
lost,kayıp
lot,çok
loud,gürültülü
love,sevmek
low,düşük
machine,makine
made,yapılmış
main,ana
major,majör
make,yapmak
man,erkek
many,çok
map,harita
march,mart
mark,işaret
match,maç
material,materyal
matter,madde
may,belki
maybe,belki
me,ben
mean,anlam
measure,ölçü
meat,et
meet,tanışmak
melody,melodi
member,üye
men,erkekler
metal,metal
method,metot
middle,orta
might,belki
mile,mil
milk,süt
million,milyon
mind,akıl
mine,maden
minute,dakika
miss,özlemek
modern,modern
molecules,molekül
moment,an
money,para
month,ay
moon,ay
more,daha
morning,gündüz
most,en fazla
mother,anne
mountain,dağ
mouth,ağız
move,hareket etmek
movement,hareket
much,fazla
music,müzik
must,zorunda olmak
my,benim
name,isim
nation,millet
natural,doğal
near,yanında
necessary,gerekli
need,ihtiyaç duymak
never,asla
new,yeni
next,sonraki
night,gece
no,hayır
nor,veya
north,kuzey
northern,kuzeyli
nose,burun
not,hayır
note,not
nothing,hiçbir şey
notice,farketmek
noun,isim
now,şimdi
number,sayı
numeral,sayısal
object,obje
observe,gözlemlemek
ocean,okyanus
off,kapalı
office,ofis
often,sıkça
oh,oh
oil,petrol
old,yaşlı
on,açık
once,bir kere
one,bir
only,sadece
open,açık
opposite,zıt
or,veya
order,düzen
other,diğer
our,bizim
out,dışarı
outside,dışarısı
over,üzerinde
own,sahip olmak
oxygen,oksijen
page,sayfa
paint,boyamak
pair,çift
paper,kağıt
paragraph,paragraf
park,park
part,bölüm
particular,belli
party,parti
passed,geçmiş
past,geçmiş
pattern,patern
pay,ödemek
people,insanlar
per,başına
perhaps,belki
period,nokta
person,insan
phrase,cümle parçası
pick,seçmek
picture,resim
piece,parça
place,yer
plain,düz
plan,plan
plane,uçak
plant,bitki
plants,bitkiler
play,oynamak
please,lütfen
plural,çoğul
poem,şiir
point,puan
pole,kutup
poor,fakir
position,pozisyon
possible,mümkün
pound,ağırlık birimi
power,güç
practice,pratik
prepare,hazırlanmak
president,başkan
pretty,güzel
printed,yazılmış
probably,belki
problem,sorun
process,işlem
produce,üretmek
product,ürün
property,mülk
provide,sağlamak
pull,çekmek
push,itmek
put,koymak
question,soru
quickly,hızlıca
quiet,sessiz
quite,oldukça
race,yarış
radio,radyo
rain,yağmur
raise,yükseltmek
ran,koşmak
reach,ulaşmak
read,okumak
ready,hazır
really,gerçekten
reason,sebep
receive,almak
record,kayıt
red,kırmızı
region,bölge
remain,kalan
remember,hatırlamak
repeat,tekrar etmek
report,rapor
represent,temsil etmek
resent,gücenmek
rest,dinlenmek
result,sonuç
return,dönmek
rhythm,ritim
rich,zengin
ride,binmek
right,sağ
ring,zil çalmak
rise,yükselmek
river,nehir
road,yol
rock,kaya
rolled,yuvarlanmış
room,oda
root,kök
rope,halat
rose,gül
round,yuvarlak
row,satır
rule,kural
run,koşmak
safe,güvenli
said,dedi
sail,yelken açmak
same,aynı
sand,kum
sat,oturdu
save,kurtarmak
saw,testere
say,söylemek
scale,ölçek
school,okul
science,bilim
scientist,bilim adamı
score,skor
sea,deniz
seat,koltuk
second,saniye
section,bölüm
see,görmek
seed,tohumlar
seem,görünmek
seen,görünmek
sell,satmak
send,göndermek
sense,his
sent,gönderilmiş
sentence,cümle
separate,ayrı
serve,hizmet etmek
set,ayarlamak
settled,ayarlanmış
seven,yedi
several,birkaç
shall,olsun
shape,şekil
sharp,keskin
she,O (kadın)
ship,gemi
shoes,ayakkabı
shop,dükkan
short,kısa
should,zorunda olmak
shoulder,omuz
shout,bağırmak
show,göstermek
shown,gösterilmiş
side,yan
sight,görüş
sign,işaret
signal,sinyal
silent,sessiz
similar,benzer
simple,basit
sing,şarkı söylemek
sir,efendi
sister,kız kardeş
sit,oturmak
six,altı
size,boyut
skin,deri
sky,hava
sleep,uyku
slowly,yavaşça
small,küçük
smell,koklamak
smile,gülümsemek
snow,kar
so,şöyle
soft,yumuşak
soil,toprak
soldier,asker
solution,çözüm
some,bazı
someone,birisi
something,bir şey
sometimes,bazen
son,erkek çocuk
song,şarkı
soon,yakında
sound,ses
south,güney
southern,güneyli
space,uzay
speak,konuşmak
special,özel
speed,hız
spell,hecelemek
spot,nokta
spread,yayılmak
spring,ilkbahar
square,kare
stand,ayakta durmak
star,yıldız
start,başlamak
state,durum
statement,ifade
stay,kalmak
steel,çelik
step,adım
stick,yapışmak
still,halen
stone,taş
stood,ayakta durmuş
stop,durmak
store,dükkan
story,hikaye
straight,düz
strange,garip
stream,akıntı
street,sokak
stretch,genişletmek
string,dizi
strong,güçlü
student,öğrenci
study,çalışmak
subject,konu
substance,madde
such,örneğin
suddenly,aniden
suffix,son ek
sugar,şeker
suggested,tavsiye edilmiş
sum,özet
summer,yaz
sun,güneş
supply,malzeme
suppose,tahmin yürütmek
sure,emin
surface,yüzey
surprise,süpriz
swim,yüzmek
syllables,ders programı
symbols,sembol
system,sistem
table,masa
tail,kuyruk
take,almak
talk,konuşmak
tall,uzun
teacher,öğretmen
team,takım
tell,söylemek
temperature,sıcaklık
ten,on
term,dönem
test,denemek
the,o
their,onların
them,onlar
themselves,onların kendisi
then,sonra
there,orada
these,bunlar
they,onlar 
thick,kalın
thin,ince
thing,şey
think,düşünmek
third,üçüncü
this,o
those,onlar
thought,düşünce
thousands,binlerce
three,üç
through,arasından
thus,nitekim
tied,bağlı
time,zaman
tiny,küçücük
to,ona
today,bugün
together,birlikte
told,söyledi
tone,ton
too,çok
tool,alet
top,üst
total,toplam
touch,dokunmak
town,yerleşke
track,takip etmek
trade,ticaret
train,tren
train,eğitmek
travel,yolculuk
tree,ağaç
triangle,üçgen
trip,yolculuk
trouble,sorun
truck,kamyon
true,doğru
try,denemek
tube,tüp
turn,dönüş
two,iki
type,yazmak
uncle,amca
under,altında
underline,altı çizili
understand,anlamak
unit,ünite
up,yukarı
upon,üstüne
us,biz
use,kullanmak
usually,genellikle
valley,vadi
value,değer
various,çeşitli
verb,fiil
very,çok
view,görüş
village,köy
visit,ziyaret
voice,ses
vowel,sesli harf
wait,beklemek
walk,yürümek
wall,duvar
want,istemek
war,savaş
warm,sıcak
wash,yıkamak
Washington,Washington
watch,izlemek
water,su
waves,dalgalar
way,yol
we,biz
wear,giymek
weather,hava
week,hafta
weight,kilo
well,iyi
west,batı
western,batılı
what,ne?
wheel,tekerlek
when,ne zaman
where,nerede
whether,eğer
which,hangisi
while,süresince
white,beyaz
who,kim
whole,bütün
whose,kimin
why,neden
wide,geniş
wife,eş
wild,vahşi
will,istek
win,kazanmak
wind,rüzgar
window,pencere
wing,kanat
winter,kış
wire,kablo
wish,dilemek
with,birlikte
within,içinde
without,olmadan
woman,kadın
women,kadınlar
wonder,merak etmek
wood,ağaç
word,kelime
work,iş
worker,işçi
world,dünya
would,istemek
write,yazmak
written,yazılı
wrong,yanlış
wrote,yazmak 
yard,bahçe
year,yıl
yellow,sarı
yes,evet
yet,henüz
you,sen
young,genç
your,senin
yourself,kendin
